timestamp_saved,dataFechaActualizado,Index,Desc,value
07/25/2023 06:25 AM,7/25/2023 2:20:30 AM,4,Reserva Operacional,449
07/25/2023 06:25 AM,7/25/2023 2:20:30 AM,5,Capacidad Disponible,2828
07/25/2023 06:25 AM,7/25/2023 2:20:30 AM,6,Próxima Hora MW,2262
07/25/2023 06:25 AM,7/25/2023 2:20:30 AM,7,Máxima para Hoy,2616
07/25/2023 06:25 AM,7/25/2023 2:20:30 AM,8,Máxima Mensual,3004
07/25/2023 06:33 AM,7/25/2023 2:25:30 AM,0,Total de Generación,2408
07/25/2023 06:33 AM,7/25/2023 2:25:30 AM,1,PREPA,57
07/25/2023 06:33 AM,7/25/2023 2:25:30 AM,2,COGEN,43
07/25/2023 06:33 AM,7/25/2023 2:25:30 AM,3,Reserva en Rotación,262
07/25/2023 06:33 AM,7/25/2023 2:25:30 AM,4,Reserva Operacional,433
07/25/2023 06:33 AM,7/25/2023 2:25:30 AM,5,Capacidad Disponible,2829
07/25/2023 06:33 AM,7/25/2023 2:25:30 AM,6,Próxima Hora MW,2330
07/25/2023 06:33 AM,7/25/2023 2:25:30 AM,7,Máxima para Hoy,2616
07/25/2023 06:33 AM,7/25/2023 2:25:30 AM,8,Máxima Mensual,3004
07/25/2023 06:41 AM,7/25/2023 2:35:30 AM,0,Total de Generación,2384
07/25/2023 06:41 AM,7/25/2023 2:35:30 AM,1,PREPA,59
07/25/2023 06:41 AM,7/25/2023 2:35:30 AM,2,COGEN,41
07/25/2023 06:41 AM,7/25/2023 2:35:30 AM,3,Reserva en Rotación,278
07/25/2023 06:41 AM,7/25/2023 2:35:30 AM,4,Reserva Operacional,451
07/25/2023 06:41 AM,7/25/2023 2:35:30 AM,5,Capacidad Disponible,2829
07/25/2023 06:41 AM,7/25/2023 2:35:30 AM,6,Próxima Hora MW,2330
07/25/2023 06:41 AM,7/25/2023 2:35:30 AM,7,Máxima para Hoy,2616
07/25/2023 06:41 AM,7/25/2023 2:35:30 AM,8,Máxima Mensual,3004
07/25/2023 06:48 AM,7/25/2023 2:40:30 AM,0,Total de Generación,2382
07/25/2023 06:48 AM,7/25/2023 2:40:30 AM,1,PREPA,59
07/25/2023 06:48 AM,7/25/2023 2:40:30 AM,2,COGEN,41
07/25/2023 06:48 AM,7/25/2023 2:40:30 AM,3,Reserva en Rotación,286
07/25/2023 06:48 AM,7/25/2023 2:40:30 AM,4,Reserva Operacional,456
07/25/2023 06:48 AM,7/25/2023 2:40:30 AM,5,Capacidad Disponible,2830
07/25/2023 06:48 AM,7/25/2023 2:40:30 AM,6,Próxima Hora MW,2330
07/25/2023 06:48 AM,7/25/2023 2:40:30 AM,7,Máxima para Hoy,2616
07/25/2023 06:48 AM,7/25/2023 2:40:30 AM,8,Máxima Mensual,3004
07/25/2023 06:56 AM,7/25/2023 2:50:30 AM,0,Total de Generación,2370
07/25/2023 06:56 AM,7/25/2023 2:50:30 AM,1,PREPA,59
07/25/2023 06:56 AM,7/25/2023 2:50:30 AM,2,COGEN,41
07/25/2023 06:56 AM,7/25/2023 2:50:30 AM,3,Reserva en Rotación,306
07/25/2023 06:56 AM,7/25/2023 2:50:30 AM,4,Reserva Operacional,476
07/25/2023 06:56 AM,7/25/2023 2:50:30 AM,5,Capacidad Disponible,2832
07/25/2023 06:56 AM,7/25/2023 2:50:30 AM,6,Próxima Hora MW,2330
07/25/2023 06:56 AM,7/25/2023 2:50:30 AM,7,Máxima para Hoy,2616
07/25/2023 06:56 AM,7/25/2023 2:50:30 AM,8,Máxima Mensual,3004
07/25/2023 07:05 AM,7/25/2023 3:00:30 AM,0,Total de Generación,2362
07/25/2023 07:05 AM,7/25/2023 3:00:30 AM,1,PREPA,57
07/25/2023 07:05 AM,7/25/2023 3:00:30 AM,2,COGEN,43
07/25/2023 07:05 AM,7/25/2023 3:00:30 AM,3,Reserva en Rotación,310
07/25/2023 07:05 AM,7/25/2023 3:00:30 AM,4,Reserva Operacional,480
07/25/2023 07:05 AM,7/25/2023 3:00:30 AM,5,Capacidad Disponible,2831
07/25/2023 07:05 AM,7/25/2023 3:00:30 AM,6,Próxima Hora MW,2330
07/25/2023 07:05 AM,7/25/2023 3:00:30 AM,7,Máxima para Hoy,2616
07/25/2023 07:05 AM,7/25/2023 3:00:30 AM,8,Máxima Mensual,3004
07/25/2023 07:16 AM,7/25/2023 3:10:30 AM,0,Total de Generación,2359
07/25/2023 07:16 AM,7/25/2023 3:10:30 AM,1,PREPA,57
07/25/2023 07:16 AM,7/25/2023 3:10:30 AM,2,COGEN,43
07/25/2023 07:16 AM,7/25/2023 3:10:30 AM,3,Reserva en Rotación,317
07/25/2023 07:16 AM,7/25/2023 3:10:30 AM,4,Reserva Operacional,487
07/25/2023 07:16 AM,7/25/2023 3:10:30 AM,5,Capacidad Disponible,2832
07/25/2023 07:16 AM,7/25/2023 3:10:30 AM,6,Próxima Hora MW,2330
07/25/2023 07:16 AM,7/25/2023 3:10:30 AM,7,Máxima para Hoy,2616
07/25/2023 07:16 AM,7/25/2023 3:10:30 AM,8,Máxima Mensual,3004
07/25/2023 07:24 AM,7/25/2023 3:15:30 AM,0,Total de Generación,2353
07/25/2023 07:24 AM,7/25/2023 3:15:30 AM,1,PREPA,57
07/25/2023 07:24 AM,7/25/2023 3:15:30 AM,2,COGEN,43
07/25/2023 07:24 AM,7/25/2023 3:15:30 AM,3,Reserva en Rotación,324
07/25/2023 07:24 AM,7/25/2023 3:15:30 AM,4,Reserva Operacional,494
07/25/2023 07:24 AM,7/25/2023 3:15:30 AM,5,Capacidad Disponible,2833
07/25/2023 07:24 AM,7/25/2023 3:15:30 AM,6,Próxima Hora MW,2242
07/25/2023 07:24 AM,7/25/2023 3:15:30 AM,7,Máxima para Hoy,2616
07/25/2023 07:24 AM,7/25/2023 3:15:30 AM,8,Máxima Mensual,3004
07/25/2023 07:31 AM,7/25/2023 3:25:30 AM,0,Total de Generación,2350
07/25/2023 07:31 AM,7/25/2023 3:25:30 AM,1,PREPA,57
07/25/2023 07:31 AM,7/25/2023 3:25:30 AM,2,COGEN,43
07/25/2023 07:31 AM,7/25/2023 3:25:30 AM,3,Reserva en Rotación,321
07/25/2023 07:31 AM,7/25/2023 3:25:30 AM,4,Reserva Operacional,495
07/25/2023 07:31 AM,7/25/2023 3:25:30 AM,5,Capacidad Disponible,2833
07/25/2023 07:31 AM,7/25/2023 3:25:30 AM,6,Próxima Hora MW,2295
07/25/2023 07:31 AM,7/25/2023 3:25:30 AM,7,Máxima para Hoy,2616
